,designation,period,provenience,museum_no
P405342,"Nisaba 04/2, 30",Old Babylonian,Uruk (mod. Warka),BM 015484
P405343,"Nisaba 04/2, 31",Old Babylonian,Uruk (mod. Warka),BM 023380
P405344,"Nisaba 04/2, 32",Old Babylonian,Uruk (mod. Warka),BM 015675
P405345,"Nisaba 04/2, 33",Old Babylonian,Uruk (mod. Warka),BM 016394
P405346,"Nisaba 04/2, 34",Old Babylonian,Uruk (mod. Warka),BM 015595
P405347,"Nisaba 04/2, 35",Old Babylonian,Uruk (mod. Warka),BM 023441
P405348,"Nisaba 04/2, 36",Old Babylonian,Uruk (mod. Warka),BM 023164
P405349,"Nisaba 04/2, 37",Old Babylonian,Uruk (mod. Warka),BM 023187
P405350,"Nisaba 04/2, 38",Old Babylonian,Uruk (mod. Warka),BM 023257
P405351,"Nisaba 04/2, 39",Old Babylonian,Uruk (mod. Warka),BM 085082
P405352,"Nisaba 04/2, 40",Old Babylonian,Uruk (mod. Warka),BM 015656
P405353,"Nisaba 04/2, 41",Old Babylonian,Uruk (mod. Warka),BM 085057
P405354,"Nisaba 04/2, 42",Old Babylonian,Uruk (mod. Warka),BM 085034
P405355,"Nisaba 04/2, 43",Old Babylonian,Uruk (mod. Warka),BM 085062
P405356,"Nisaba 04/2, 44",Old Babylonian,Uruk (mod. Warka),BM 016388
P405357,"Nisaba 04/2, 45",Old Babylonian,Uruk (mod. Warka),BM 023121
P405358,"Nisaba 04/2, 46",Old Babylonian,Uruk (mod. Warka),BM 015597
P405359,"Nisaba 04/2, 47",Old Babylonian,Uruk (mod. Warka),BM 015690
P405360,"Nisaba 04/2, 48",Old Babylonian,Uruk (mod. Warka),BM 023454
P405361,"Nisaba 04/2, 49",Old Babylonian,Uruk (mod. Warka),BM 022719
P405362,"Nisaba 04/2, 50",Old Babylonian,Uruk (mod. Warka),BM 023126
P405363,"Nisaba 04/2, 51",Old Babylonian,Uruk (mod. Warka),BM 023139
P405364,"Nisaba 04/2, 52",Old Babylonian,Uruk (mod. Warka),BM 016459
P405365,"Nisaba 04/2, 53",Old Babylonian,Uruk (mod. Warka),BM 016447
P405366,"Nisaba 04/2, 54",Old Babylonian,Uruk (mod. Warka),BM 015665
P405367,"Nisaba 04/2, 55",Old Babylonian,Uruk (mod. Warka),BM 015689
P405368,"Nisaba 04/2, 56",Old Babylonian,Uruk (mod. Warka),BM 016444
P405369,"Nisaba 04/2, 57",Old Babylonian,Uruk (mod. Warka),BM 016420
P405370,"Nisaba 04/2, 58",Old Babylonian,Uruk (mod. Warka),BM 023457
P405371,"Nisaba 04/2, 59",Old Babylonian,Uruk (mod. Warka),BM 016415
P405372,"Nisaba 04/2, 60",Old Babylonian,Uruk (mod. Warka),BM 086047
P405373,"Nisaba 04/2, 61",Old Babylonian,Uruk (mod. Warka),BM 023416
P405374,"Nisaba 04/2, 62",Old Babylonian,Uruk (mod. Warka),BM 015614
P405375,"Nisaba 04/2, 63",Old Babylonian,Uruk (mod. Warka),BM 016458
P405376,"Nisaba 04/2, 64",Old Babylonian,Uruk (mod. Warka),BM 023410
P405377,"Nisaba 04/2, 65",Old Babylonian,Uruk (mod. Warka),BM 015713
P405378,"Nisaba 04/2, 66",Old Babylonian,Uruk (mod. Warka),BM 015445
P405379,"Nisaba 04/2, 67",Old Babylonian,Uruk (mod. Warka),BM 023260
P405380,"Nisaba 04/2, 68",Old Babylonian,Uruk (mod. Warka),BM 015450
P405381,"Nisaba 04/2, 69",Old Babylonian,Uruk (mod. Warka),BM 022721
P405382,"Nisaba 04/2, 70",Old Babylonian,Uruk (mod. Warka),BM 085481
P405383,"Nisaba 04/2, 71",Old Babylonian,Uruk (mod. Warka),BM 016387
P405384,"Nisaba 04/2, 72",Old Babylonian,Uruk (mod. Warka),BM 023361
P405385,"Nisaba 04/2, 73",Old Babylonian,Uruk (mod. Warka),BM 023192
P405386,"Nisaba 04/2, 74",Old Babylonian,Uruk (mod. Warka),BM 016398
P405387,"Nisaba 04/2, 75",Old Babylonian,Uruk (mod. Warka),BM 016393
P405388,"Nisaba 04/2, 76",Old Babylonian,Uruk (mod. Warka),BM 097321
P405389,"Nisaba 04/2, 77",Old Babylonian,Uruk (mod. Warka),BM 023358
P405390,"Nisaba 04/2, 78",Old Babylonian,Uruk (mod. Warka),BM 096122
P405391,"Nisaba 04/2, 79",Old Babylonian,Uruk (mod. Warka),BM 023349
P405392,"Nisaba 04/2, 80",Old Babylonian,Uruk (mod. Warka),BM 016382
P405393,"Nisaba 04/2, 81",Old Babylonian,Uruk (mod. Warka),BM 016384
P405394,"Nisaba 04/2, 82",Old Babylonian,Uruk (mod. Warka),BM 016396
P405395,"Nisaba 04/2, 83",Old Babylonian,Uruk (mod. Warka),BM 023463
P405396,"Nisaba 04/3, 01",Old Babylonian,Uruk (mod. Warka),BM 023456
P405397,"Nisaba 04/3, 02",Old Babylonian,Uruk (mod. Warka),BM 023191
P405398,"Nisaba 04/3, 03",Old Babylonian,Uruk (mod. Warka),BM 085077
P405399,"Nisaba 04/3, 04",Old Babylonian,Uruk (mod. Warka),BM 097450
P405401,"SANER 2, 27",Old Babylonian,Uruk (mod. Warka),PTS 0012
P405402,"RA 071, 007, no. 1",Old Babylonian,Uruk (mod. Warka),AO 07548
P405403,"RA 071, 007, no. 2",Old Babylonian,Uruk (mod. Warka),AO 20299
P405404,"RA 071, 008, no. 3",Old Babylonian,Uruk (mod. Warka),AO 20310
P405405,"RA 071, 008, no. 4",Old Babylonian,Uruk (mod. Warka),AO 20311
P405407,"UF 10, 139 01",Old Babylonian,Uruk (mod. Warka),BM 013905
P405408,"UF 10, 140 02",Old Babylonian,Uruk (mod. Warka),BM 013962
P405409,"UF 10, 141 03",Old Babylonian,Uruk (mod. Warka),BM 014021
P405410,"UF 10, 141 04",Old Babylonian,Uruk (mod. Warka),BM 014028
P405411,"UF 10, 142 05",Old Babylonian,Uruk (mod. Warka),BM 014030
P405412,"UF 10, 142 06",Old Babylonian,Uruk (mod. Warka),BM 014039
P405413,"UF 10, 143 07",Old Babylonian,Uruk (mod. Warka),BM 014058
P405414,"UF 10, 143 08",Old Babylonian,Uruk (mod. Warka),BM 014059
P405415,"UF 10, 144 09",Old Babylonian,Uruk (mod. Warka),BM 014060
P405416,"UF 10, 144 10",Old Babylonian,Uruk (mod. Warka),BM 014061
P405417,"UF 10, 145 11",Old Babylonian,Uruk (mod. Warka),BM 014064
P405418,"UF 10, 145 12",Old Babylonian,Uruk (mod. Warka),BM 014065
P405419,"UF 10, 146 13",Old Babylonian,Uruk (mod. Warka),BM 014066
P405420,"UF 10, 146 14",Old Babylonian,Uruk (mod. Warka),BM 014069
