,designation,period,provenience,museum_no,accession_no,excavation_no
X000002,BM 080491,Old Babylonian,Sippar,BM 080491,"Bu 1891-05-09, 0629",
X000003,Ist Ni 05358,Old Babylonian,Nippur,Ist Ni 05358,,
X000004,BM 079062,,Sippar,BM 079062,,
X000005,BM 054697,Old Babylonian,Sippar,BM 054697,,
X000006,Ist Ni 10200,Old Babylonian,,Ist Ni 10200,,
X000007,Edubba 9 29,Old Babylonian,Tulul Khattab,IM 092207,,
X000008,Edubba 9 30,Old Babylonian,Tulul Khattab,IM 090572,,
X000009,YBC 11121,Old Babylonian,uncertain,YBC 11121,,
X000010,BM 061370,Old Babylonian,Sippar,BM 061370,,
X000011,"ZA 101, 204-245",Old Babylonian,uncertain,,,
X000012,YBC 00263,Old Babylonian,uncertain,YBC 00263,,
X000013,YBC 12074,Old Babylonian,uncertain,YBC 12074,,
